plan,period,tier,currency,unit_amount_minor,tax_behavior,lookup_key
pro,annual,developed,aud,178800,exclusive,mark8ly_pro_annual_developed_v1
pro,annual,developed,cad,161900,,mark8ly_pro_annual_developed_v1
pro,annual,developed,eur,106800,,mark8ly_pro_annual_developed_v1
pro,annual,developed,gbp,94800,,mark8ly_pro_annual_developed_v1
pro,annual,developed,nzd,178800,,mark8ly_pro_annual_developed_v1
pro,annual,developed,sgd,154800,,mark8ly_pro_annual_developed_v1
pro,annual,developed,usd,118800,,mark8ly_pro_annual_developed_v1
pro,annual,ppp,idr,1198800000,,mark8ly_pro_annual_ppp_idr_v1
pro,annual,ppp,inr,6599900,,mark8ly_pro_annual_ppp_inr_v1
pro,annual,ppp,myr,358800,,mark8ly_pro_annual_ppp_myr_v1
pro,annual,ppp,php,4558800,,mark8ly_pro_annual_ppp_php_v1
pro,annual,ppp,thb,2878800,,mark8ly_pro_annual_ppp_thb_v1
pro,annual,ppp,vnd,1978800000,,mark8ly_pro_annual_ppp_vnd_v1
pro,monthly,developed,aud,17900,exclusive,mark8ly_pro_monthly_developed_v1
pro,monthly,developed,cad,16200,,mark8ly_pro_monthly_developed_v1
pro,monthly,developed,eur,10700,,mark8ly_pro_monthly_developed_v1
pro,monthly,developed,gbp,9500,,mark8ly_pro_monthly_developed_v1
pro,monthly,developed,nzd,17900,,mark8ly_pro_monthly_developed_v1
pro,monthly,developed,sgd,15500,,mark8ly_pro_monthly_developed_v1
pro,monthly,developed,usd,11900,,mark8ly_pro_monthly_developed_v1
pro,monthly,ppp,idr,119880000,,mark8ly_pro_monthly_ppp_idr_v1
pro,monthly,ppp,inr,659900,,mark8ly_pro_monthly_ppp_inr_v1
pro,monthly,ppp,myr,35900,,mark8ly_pro_monthly_ppp_myr_v1
pro,monthly,ppp,php,455900,,mark8ly_pro_monthly_ppp_php_v1
pro,monthly,ppp,thb,287900,,mark8ly_pro_monthly_ppp_thb_v1
pro,monthly,ppp,vnd,197880000,,mark8ly_pro_monthly_ppp_vnd_v1
starter,annual,developed,aud,27800,exclusive,mark8ly_starter_annual_developed_v1
starter,annual,developed,cad,23900,,mark8ly_starter_annual_developed_v1
starter,annual,developed,eur,16300,,mark8ly_starter_annual_developed_v1
starter,annual,developed,gbp,14400,,mark8ly_starter_annual_developed_v1
starter,annual,developed,nzd,27800,,mark8ly_starter_annual_developed_v1
starter,annual,developed,sgd,23900,,mark8ly_starter_annual_developed_v1
starter,annual,developed,usd,18200,,mark8ly_starter_annual_developed_v1
starter,annual,ppp,idr,191900000,,mark8ly_starter_annual_ppp_idr_v1
starter,annual,ppp,inr,959900,,mark8ly_starter_annual_ppp_inr_v1
starter,annual,ppp,myr,56900,,mark8ly_starter_annual_ppp_myr_v1
starter,annual,ppp,php,719900,,mark8ly_starter_annual_ppp_php_v1
starter,annual,ppp,thb,479900,,mark8ly_starter_annual_ppp_thb_v1
starter,annual,ppp,vnd,316900000,,mark8ly_starter_annual_ppp_vnd_v1
starter,monthly,developed,aud,2900,exclusive,mark8ly_starter_monthly_developed_v1
starter,monthly,developed,cad,2500,,mark8ly_starter_monthly_developed_v1
starter,monthly,developed,eur,1700,,mark8ly_starter_monthly_developed_v1
starter,monthly,developed,gbp,1500,,mark8ly_starter_monthly_developed_v1
starter,monthly,developed,nzd,2900,,mark8ly_starter_monthly_developed_v1
starter,monthly,developed,sgd,2500,,mark8ly_starter_monthly_developed_v1
starter,monthly,developed,usd,1900,,mark8ly_starter_monthly_developed_v1
starter,monthly,ppp,idr,19900000,,mark8ly_starter_monthly_ppp_idr_v1
starter,monthly,ppp,inr,99900,,mark8ly_starter_monthly_ppp_inr_v1
starter,monthly,ppp,myr,5900,,mark8ly_starter_monthly_ppp_myr_v1
starter,monthly,ppp,php,74900,,mark8ly_starter_monthly_ppp_php_v1
starter,monthly,ppp,thb,49900,,mark8ly_starter_monthly_ppp_thb_v1
starter,monthly,ppp,vnd,32900000,,mark8ly_starter_monthly_ppp_vnd_v1
studio,annual,developed,aud,71900,exclusive,mark8ly_studio_annual_developed_v1
studio,annual,developed,cad,62500,,mark8ly_studio_annual_developed_v1
studio,annual,developed,eur,43200,,mark8ly_studio_annual_developed_v1
studio,annual,developed,gbp,37500,,mark8ly_studio_annual_developed_v1
studio,annual,developed,nzd,71900,,mark8ly_studio_annual_developed_v1
studio,annual,developed,sgd,62300,,mark8ly_studio_annual_developed_v1
studio,annual,developed,usd,47000,,mark8ly_studio_annual_developed_v1
studio,annual,ppp,idr,479900000,,mark8ly_studio_annual_ppp_idr_v1
studio,annual,ppp,inr,2399900,,mark8ly_studio_annual_ppp_inr_v1
studio,annual,ppp,myr,142900,,mark8ly_studio_annual_ppp_myr_v1
studio,annual,ppp,php,1823900,,mark8ly_studio_annual_ppp_php_v1
studio,annual,ppp,thb,1151900,,mark8ly_studio_annual_ppp_thb_v1
studio,annual,ppp,vnd,769900000,,mark8ly_studio_annual_ppp_vnd_v1
studio,monthly,developed,aud,7500,exclusive,mark8ly_studio_monthly_developed_v1
studio,monthly,developed,cad,6500,,mark8ly_studio_monthly_developed_v1
studio,monthly,developed,eur,4500,,mark8ly_studio_monthly_developed_v1
studio,monthly,developed,gbp,3900,,mark8ly_studio_monthly_developed_v1
studio,monthly,developed,nzd,7500,,mark8ly_studio_monthly_developed_v1
studio,monthly,developed,sgd,6500,,mark8ly_studio_monthly_developed_v1
studio,monthly,developed,usd,4900,,mark8ly_studio_monthly_developed_v1
studio,monthly,ppp,idr,49900000,,mark8ly_studio_monthly_ppp_idr_v1
studio,monthly,ppp,inr,249900,,mark8ly_studio_monthly_ppp_inr_v1
studio,monthly,ppp,myr,14900,,mark8ly_studio_monthly_ppp_myr_v1
studio,monthly,ppp,php,189900,,mark8ly_studio_monthly_ppp_php_v1
studio,monthly,ppp,thb,119900,,mark8ly_studio_monthly_ppp_thb_v1
studio,monthly,ppp,vnd,79900000,,mark8ly_studio_monthly_ppp_vnd_v1
